",,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,"
"2021-11-02,Tue,Champions Lg,Group stage,Home,W 2Ð1,de Wolfsburg,at RB Salzburg,Y,FW,62,0,0,0,0,1,0,1,0,28,16,0,0,0,0.3,0.3,0.1,2,0,15,23,65.2,1,12,0,0,1,Match Report"
"2021-11-06,Sat,Bundesliga,Matchweek 11,Home,W 1Ð0,Wolfsburg,Augsburg,Y,FW,90,0,0,0,0,0,0,0,0,32,29,0,0,2,0.0,0.0,0.1,3,0,17,23,73.9,1,20,3,0,0,Match Report"
"2021-11-20,Sat,Bundesliga,Matchweek 12,Away,D 2Ð2,Wolfsburg,Arminia,Y,FW,90,1,0,0,0,1,1,0,0,43,23,1,0,0,0.9,0.9,0.0,3,1,26,35,74.3,5,24,1,0,0,Match Report"
"2021-11-23,Tue,Champions Lg,Group stage,Away,L 0Ð2,de Wolfsburg,es Sevilla,Y,FW,90,0,0,0,0,0,0,0,0,30,20,0,0,3,0.0,0.0,0.1,2,0,18,21,85.7,1,13,3,0,1,Match Report"
"2021-11-27,Sat,Bundesliga,Matchweek 13,Home,L 1Ð3,Wolfsburg,Dortmund,Y,FW,90,1,0,0,0,2,2,0,0,41,34,1,0,2,0.5,0.5,0.1,3,0,19,27,70.4,1,20,2,0,0,Match Report"
"2021-12-04,Sat,Bundesliga,Matchweek 14,Away,L 0Ð3,Wolfsburg,Mainz 05,Y,FW,90,0,0,0,0,0,0,0,0,23,23,1,1,0,0.0,0.0,0.2,3,0,11,18,61.1,2,13,0,0,0,Match Report"
"2021-12-08,Wed,Champions Lg,Group stage,Home,L 1Ð3,de Wolfsburg,fr Lille,Y,FW,90,0,0,0,0,4,1,0,0,35,15,1,0,0,0.4,0.4,0.0,2,0,23,26,88.5,1,19,0,0,0,Match Report"
"2021-12-11,Sat,Bundesliga,Matchweek 15,Home,L 0Ð2,Wolfsburg,Stuttgart,Y,FW,90,0,0,0,0,3,0,0,0,25,30,0,0,1,0.1,0.1,0.0,2,0,14,19,73.7,2,13,2,0,0,Match Report"
"2021-12-14,Tue,Bundesliga,Matchweek 16,Home,L 2Ð3,Wolfsburg,Kšln,Y,FW,90,1,0,0,0,6,2,0,0,35,22,0,0,0,1.1,1.1,0.0,4,0,17,25,68.0,1,17,3,2,3,Match Report"
"2021-12-17,Fri,Bundesliga,Matchweek 17,Away,L 0Ð4,Wolfsburg,Bayern Munich,Y,FW,90,0,0,0,0,3,2,0,0,49,39,3,0,1,0.8,0.8,0.0,2,0,24,31,77.4,0,26,1,1,1,Match Report"
"2022-01-09,Sun,Bundesliga,Matchweek 18,Away,L 0Ð1,Wolfsburg,Bochum,Y,FW,90,0,0,0,0,0,0,0,0,40,24,0,0,0,0.0,0.0,0.0,0,0,20,32,62.5,1,30,0,1,1,Match Report"
"2022-01-15,Sat,Bundesliga,Matchweek 19,Home,D 0Ð0,Wolfsburg,Hertha BSC,Y,FW,90,0,0,0,0,1,1,0,0,27,11,0,1,2,0.2,0.2,0.2,1,0,18,22,81.8,2,11,0,0,0,Match Report"
"2022-01-23,Sun,Bundesliga,Matchweek 20,Away,L 0Ð2,Wolfsburg,RB Leipzig,Y,FW,90,0,0,0,0,0,0,0,0,44,23,0,0,3,0.0,0.0,0.0,1,0,24,35,68.6,2,28,3,1,2,Match Report"
"2022-02-05,Sat,Premier League,Matchweek 17,Home,D 0Ð0,Burnley,Watford,Y,FW,90,0,0,0,0,2,0,0,0,40,35,0,1,0,0.4,0.4,0.0,2,0,15,25,60.0,0,17,0,1,3,Match Report"
"2022-02-08,Tue,Premier League,Matchweek 24,Home,D 1Ð1,Burnley,Manchester Utd,Y,FW,90,0,1,0,0,3,1,0,0,45,25,2,1,4,0.2,0.2,0.4,2,2,22,28,78.6,5,28,1,3,3,Match Report"
"2022-02-13,Sun,Premier League,Matchweek 25,Home,L 0Ð1,Burnley,Liverpool,Y,FW,74,0,0,0,0,3,1,0,0,36,30,0,0,2,0.4,0.4,0.0,3,0,11,26,42.3,1,18,5,0,0,Match Report"
"2022-02-19,Sat,Premier League,Matchweek 26,Away,W 3Ð0,Burnley,Brighton,Y,FW,87,1,1,0,0,1,1,0,0,33,26,1,1,2,0.1,0.1,0.1,3,2,14,22,63.6,1,24,0,1,1,Match Report"
"2022-02-23,Wed,Premier League,Matchweek 13,Home,W 1Ð0,Burnley,Tottenham,Y,FW,88,0,0,0,0,1,0,0,0,43,32,4,0,3,0.0,0.0,0.0,0,0,16,23,69.6,1,21,0,2,3,Match Report"
"2022-02-26,Sat,Premier League,Matchweek 27,Away,D 1Ð1,Burnley,Crystal Palace,Y,FW,90,0,0,0,0,1,1,0,0,40,31,1,1,1,0.1,0.1,0.0,0,0,23,32,71.9,0,21,0,0,0,Match Report"
"2022-03-01,Tue,Premier League,Matchweek 22,Home,L 0Ð2,Burnley,Leicester City,Y,FW,90,0,0,0,0,1,0,1,0,45,33,0,0,3,0.3,0.3,0.0,0,0,18,28,64.3,0,19,0,1,1,Match Report"
"2022-03-05,Sat,Premier League,Matchweek 28,Home,L 0Ð4,Burnley,Chelsea,Y,FW,77,0,0,0,0,1,0,0,0,21,38,0,0,2,0.1,0.1,0.0,1,0,9,16,56.3,2,15,0,2,2,Match Report"
"2022-03-12,Sat,Premier League,Matchweek 29,Away,L 0Ð2,Burnley,Brentford,Y,FW,66,0,0,0,0,0,0,0,0,26,14,1,0,2,0.0,0.0,0.0,0,0,15,19,78.9,3,17,1,0,0,Match Report"
"2022-04-02,Sat,Premier League,Matchweek 31,Home,L 0Ð2,Burnley,Manchester City,Y,FW,80,0,0,0,0,0,0,1,0,28,39,0,0,0,0.0,0.0,0.0,0,0,13,21,61.9,0,9,0,0,0,Match Report"
"2022-04-06,Wed,Premier League,Matchweek 19,Home,W 3Ð2,Burnley,Everton,Y,FW,79,0,0,0,0,1,0,0,0,24,18,1,0,0,0.0,0.0,0.0,1,0,9,17,52.9,0,13,0,1,2,Match Report"
"2022-04-10,Sun,Premier League,Matchweek 32,Away,L 0Ð2,Burnley,Norwich City,Y,FW,55,0,0,0,0,1,0,0,0,22,13,1,2,1,0.1,0.1,0.0,2,0,9,14,64.3,1,14,0,0,0,Match Report"
"2022-04-17,Sun,Premier League,Matchweek 33,Away,D 1Ð1,Burnley,West Ham,Y,FW,90,1,0,0,0,1,1,1,0,45,29,2,1,1,0.3,0.3,0.1,1,0,23,30,76.7,1,30,3,1,1,Match Report"
"2022-04-21,Thu,Premier League,Matchweek 30,Home,W 2Ð0,Burnley,Southampton,Y,FW,77,0,0,0,0,2,1,0,0,36,31,0,1,1,0.4,0.4,0.1,2,0,20,26,76.9,0,24,1,1,2,Match Report"
"2022-04-24,Sun,Premier League,Matchweek 34,Home,W 1Ð0,Burnley,Wolves,Y,FW,90,0,1,0,0,5,1,0,0,45,55,1,0,2,0.2,0.2,0.6,3,1,19,22,86.4,3,26,3,0,0,Match Report"
"2022-04-30,Sat,Premier League,Matchweek 35,Away,W 2Ð1,Burnley,Watford,Y,FW,59,0,0,0,0,1,0,0,0,24,12,0,0,0,0.1,0.1,0.0,3,0,14,22,63.6,0,14,0,0,0,Match Report"
"2022-05-07,Sat,Premier League,Matchweek 36,Home,L 1Ð3,Burnley,Aston Villa,Y,FW,90,0,0,0,0,3,0,0,0,48,31,1,0,4,0.2,0.2,0.1,3,0,20,33,60.6,1,33,4,0,0,Match Report"
"2022-05-15,Sun,Premier League,Matchweek 37,Away,L 0Ð1,Burnley,Tottenham,N,FW,13,0,0,0,0,0,0,0,0,10,9,0,0,2,0.0,0.0,0.1,1,0,3,6,50.0,0,5,0,0,0,Match Report"
"2022-05-19,Thu,Premier League,Matchweek 18,Away,D 1Ð1,Burnley,Aston Villa,N,FW,20,0,0,0,0,1,0,0,0,12,8,2,0,0,0.5,0.5,0.0,1,0,4,8,50.0,0,6,0,0,0,Match Report"
"2022-05-22,Sun,Premier League,Matchweek 38,Home,L 1Ð2,Burnley,Newcastle Utd,N,FW,45,0,0,0,0,2,0,0,0,17,9,0,0,0,0.8,0.8,0.0,0,0,11,14,78.6,0,9,1,1,1,Match Report"
"2022-06-08,Wed,UEFA Nations League,League A,Away,W 2Ð1,nl Netherlands,wls Wales,Y,FW,90,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,Match Report"
"2022-06-11,Sat,UEFA Nations League,League A,Home,D 2Ð2,nl Netherlands,pl Poland,N,,14,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,Match Report"
",,,,,15-11-22,,,41/48,,3669,10,5,1,2,83,31,7,0,1425,1023,35,11,53,14.6,13.0,3.2,72,9,687,988,69.5,48,794,50,24,38,"
